mile
0
31.7
52.9
69.6
109.8
137.3
164.7
207.1
240.6
273.7
290
342.1
418.2
426.8
468.5
543.8
589.9
623.5
634.6
707.7
729
784.3
861.3
889.3
915
923.8
969.1
1002.6
1016.8
1023.1
1029
1054
1066.6
1121
1146.6
1217.2
1257.3
1277.5
1293
1335.7
1345.6
1403.2
1448.3
1466.7
1499.2
1549.7
1577.5
1592.2
1610.6
1650.7
1704.7
1747
1785.8
1790.4
1816
1816
1890.8
1932.2
1968.7
2000.9
2071.3
2174
